,Date,State,Total_cases,Total_death,Total_recovered,Death_percent,Recovery_percent
423,2020-08,AS,0.0,0.0,0.0,0.0,0.0
424,2020-08,AZ,192008.35,4449.74,187558.61,2.32,97.68
425,2020-08,CA,669284.19,12923.61,656360.58,1.93,98.07
426,2020-08,CO,53775.42,1891.87,51883.55,3.52,96.48
427,2020-08,CT,51143.94,4451.61,46692.32,8.7,91.3
428,2020-08,DC,13156.42,596.61,12559.81,4.53,95.47
429,2020-08,DE,16534.52,595.16,15939.35,3.6,96.4
430,2020-08,FL,558999.0,12066.55,546932.45,2.16,97.84
431,2020-08,FSM,0.0,0.0,0.0,0.0,0.0
432,2020-08,GA,241181.74,4685.94,236495.81,1.94,98.06
433,2020-08,GU,703.19,6.29,696.9,0.89,99.11
434,2020-08,HI,5264.61,41.39,5223.23,0.79,99.21
435,2020-08,IA,53043.19,985.74,52057.45,1.86,98.14
436,2020-08,ID,27217.77,275.55,26942.23,1.01,98.99
437,2020-08,IL,208223.97,7967.29,200256.68,3.83,96.17
438,2020-08,IN,80269.48,3303.26,76966.23,4.12,95.88
